"","x"
"87","Primary Preceptor/Branch Gretchen Gierach/Division of Cancer Epidemiology and Genetics/Metabolic Epidemiology Branch"
"88","Shakira Nelson"
"89","Year of entry 2013"
"90","Doctoral degree PhD, Immunology and Infectious Disease, Penn State University, (2013)"
"91","MPH (if applicable) Johns Hopkins University, 2014 "
"92","Research Interests The associations between nutrition, genetics, and metabolomics with prostate and other cancer development; and understanding the underlying impact of health disparities."
"93","Primary Preceptor/Branch Demetrius Albanes/Nutritional Epidemiology Branch"
"94","Minal Patel"
"95","Year of entry 2014"
"96","Doctoral degree PhD, Community Health Sciences, University of California — Los Angeles, (2014)"
"97","MPH (if applicable) San Diego State University, 2005"
"98","Research Interests The impact of social, built, and policy environments on cancer-related behaviors; tobacco use, physical activity, and nutrition behaviors related to cancer; multilevel factors involving neighborhood contextual and lifestyle factors; cancer health disparities; and adolescent/young adult cancer prevention."
"99","Primary Preceptor/Branch Linda Nebeling/Behavioral Research Program, Health Behaviors Research Branch – Tobacco Control "
"100","Research Branch"
"101","Carly Paterson"
"102","Year of entry 2015"
"103","Doctoral degree PhD, Nursing, University of South Florida, (2015)"
"104","MPH Dartmouth College, 2016"
"105","Research Interests Cancer survivorship, symptom management, palliative care, personalized medicine."
"106","Primary Preceptor/Branch Ann O'Mara/Division of Cancer Prevention/Community Oncology and Prevention Trials Research Group"
"107","Dudith Pierre-Victor"
"108","Year of Entry 2016"
"109","Doctoral Degree PhD, Public Health, Florida International University, Miami, FL (2016)"
"110","MPH 2011, Epidemiology, Florida International University, Miami, FL"
"111","Research Interests Coordination of cancer care; integration of primary care providers in cancer treatment planning; bidirectional communication between primary care providers and medical oncologists; patients’ experience and satisfaction with cancer care; enrollment of minority patients in oncology trials; and cancer disparities."
"112","Primary Preceptor/Branch Worta McCaskill-Stevens/Division of Cancer Prevention/Community Oncology and Prevention Trials Research Group"
"113","Kristen Pluchino"
"114","Year of entry 2016"
"115","Doctoral degree PhD, Oxford University, (2015)"
"116","MPH Harvard University (2017)"
"117","MS Johns Hopkins University"
"118","Research Interests Molecular targets; multidrug resistance; translational research; biomarker development; regulatory review."
"119","Katherine Rendle"
"120","Year of Entry 2015"
"121","PhD, Social Work, Anthropology, University of Michigan, (2014)"
"122","MPH University of California Berkeley, 2015"
"123","Research Interests Healthcare delivery and outcomes; cancer prevention and screening; patient-reported outcomes research; medical decision-making; social determinants of health; clinical epidemiology; medical anthropology."
"124","Primary Preceptor/Branch Sarah Kobrin/Healthcare Delivery Research Program/Health Systems and Interventions Research Branch"
"125","Megan Roberts"
"126","Year of Entry 2015"
"127","PhD, Health Policy and Management, University of North Carolina, (2015)"
"128","MPH N/A"
"129","Research Interests Health disparities, especially those related to access to precision medicine."
"130","Primary Preceptor/Branch William Klein/Division of Cancer Control & Population Sciences/Behavioral Research Program/Office of the Associate Director"
"131","Cendrine Robinson"
"132","Year of entry 2015"
"133","Doctoral degree PhD, Medical and Clinical Psychology, Uniformed Services University of the Health Sciences, (2015)"
"134","MPH Harvard University (2016)"
"135","Research Interests Using mobile health technology to deliver behavioral health interventions and smoking cessation among youth and ethnic minorities."
"136","Primary Preceptor/Branch Eric Augustson/Division of Cancer Control & Population Sciences/Behavioral Research Program/Tobacco Control Research Branch"
"137","Elizabeth Sarma"
"138","Year of entry 2016"
"139","Doctoral degree PhD, Psychology, Stony Brook University (2016)"
"140","MPH Harvard University (2017)"
"141","MA Stony Brook University"
"142","Research Interests Cancer prevention; health behavior; cancer screening; multiple health behavior change."
"143","Elizabeth Siembida"
"144","Year of entry 2016"
"145","Doctoral degree PhD, Human Development and Family Studies, University of Connecticut (2016)"
"146","MPH Johns Hopkins University, 2017"
"147","MA University of Connecticut"
"148","Research Interests Translational research in adolescent and young adult oncology."
"149","Michelle Silver"
"150","Year of Entry 2015"
"151","PhD, Epidemiology, Johns Hopkins University, (2015)"
"152","MPH Johns Hopkins University, 2009 (ScM)"
"153","Research Interests HPV, cervical cancer screening, prevention, translational epidemiology, and health services research."
"154","Primary Preceptor/Branch Mark Schiffman/Division of Cancer Epidemiology and Genetics/Clinical Genetics Branch"
"155","Susan Spillane"
"156","Year of entry 2016"
"157","Doctoral degree PhD, Cancer Pharmacoepidemiology, Trinity College, Dublin. (2015)"
"158","MPH London School of Hygiene & Tropical Medicine, 2017"
"159","MPh Royal College of Surgeons, Dublin, Ireland"
"160","Research Interests Cancer pharmacoepidemiology; biostatistics; chemoprevention outcomes; pharmacoeconomics; health economics; health policy."
"161","Calvin Tribby"
"162","Year of entry 2016"
"163","Doctoral degree PhD, Geography, Ohio State University, (2016)"
"164","MPH Columbia University, 2017"
"165","MS University of New Mexico in Albuquerque"
"166","Research Interests Active transportation; built environment; geographic information science; livability."
"167","Sabrina Tsang"
"168","Year of entry 2016"
"169","Doctoral degree PhD, Cell and Molecular Biology, University of Pennsylvania (2016)"
"170","MPH Harvard University (2017)"
"171","MS Biology, Massachusetts Institute of Technology"
"172","Research Interests Tumor viruses; virology; DNA damage response; oncogenesis; vaccines; clinical trials."
"173","Christopher Wheldon"
"174","Year of Entry 2015"
"175","PhD, Public Health, University of South Florida, (2015)"
"176","MPH University of South Florida, 2007 (MSPH)"
"177","Research Interests My research projects focus on providing a bettering understanding of disparities experienced by minority and underserved populations across the cancer control continuum with the ultimate goal of identifying modifiable factors (e.g., health behaviors, organizational norms, and policies) that could help decrease these disparities. "
"178","Primary Preceptor/Branch Richard Moser/Division of Cancer Control & Population Sciences/Behavioral Research Program/Science of Research and Technology Branch"
"179","Erik Willis"
"180","Year of entry 2016"
"181","Doctoral degree PhD, Exercise Physiology, University of Kansas (2016)"
"182","MPH Yale University, 2017"
"183","MS Health and Physical Activity, University of Pittsburgh"
"184","Research Interests Population and individual level physical activity; nutrition; health."
"185","Kara Wiseman"
"186","Year of Entry 2015"
"187","PhD, Epidemiology, Virginia Commonwealth University, (2015)"
"188","MPH Virginia Commonwealth University, 2011"
"189","Research Interests Behavioral intervention research, including study development, implementation and evaluation."
"190","Primary Preceptor/Branch Erik Augustson/Division of Cancer Control & Population Sciences/Behavioral Research Program/Tobacco Control Research Branch"
